date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:11	97559/97559	---MCZ	200	added ('OK')	text/html	etag:W/%2217d17-5eada5eee5100%22	https://ptable.com/	C:/My%20Web%20Sites/periodic%20table/ptable.com/index.html	(from )
18:18:11	0/0	---M--	200	added ('OK')	text/plain	etag:%220-5c1f2ea239480%22	https://ptable.com/robots.txt		(from )
18:18:11	90199/90199	---MCZ	200	added ('OK')	application/json	etag:W/%2216057-5ef41c9b81443%22	https://ptable.com/JSON/properties-90d5338.json	C:/My%20Web%20Sites/periodic%20table/ptable.com/JSON/properties-90d5338.json	(from https://ptable.com/)
18:18:11	1185/1185	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224a1-5c31510044c80%22	https://ptable.com/icon/pt-square.svg	C:/My%20Web%20Sites/periodic%20table/ptable.com/icon/pt-square.svg	(from https://ptable.com/)
18:18:12	4197/4197	---M--	200	added ('OK')	image/png	etag:%221065-5ab9fb9541b40%22	https://ptable.com/icon/pt-square-192.png	C:/My%20Web%20Sites/periodic%20table/ptable.com/icon/pt-square-192.png	(from https://ptable.com/)
18:18:12	747/747	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%222eb-5eada5eee5100%22	https://ptable.com/manifest/ptable.en.webmanifest	C:/My%20Web%20Sites/periodic%20table/ptable.com/manifest/ptable.en.webmanifest	(from https://ptable.com/)
18:18:12	35770/35770	---MCZ	200	added ('OK')	text/css	etag:W/%228bba-5eada5edf0ec0%22	https://ptable.com/css/interactive-8244c80.css	C:/My%20Web%20Sites/periodic%20table/ptable.com/css/interactive-8244c80.css	(from https://ptable.com/)
18:18:12	47136/47136	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b820-5eada5ecfcc80%22	https://ptable.com/js/required-558b88c3.js	C:/My%20Web%20Sites/periodic%20table/ptable.com/js/required-558b88c3.js	(from https://ptable.com/)
18:18:12	44536/44536	---MCZ	200	added ('OK')	text/javascript	etag:W/%22adf8-5eada5eb14800%22	https://ptable.com/js/bugsnag-f0c206ee.js	C:/My%20Web%20Sites/periodic%20table/ptable.com/js/bugsnag-f0c206ee.js	(from https://ptable.com/)
18:18:13	21388/21388	---MCZ	200	added ('OK')	text/javascript	etag:W/%22538c-5eada5ec08a40%22	https://ptable.com/js/extra-4bfde388.js	C:/My%20Web%20Sites/periodic%20table/ptable.com/js/extra-4bfde388.js	(from https://ptable.com/)
18:18:13	97559/97559	---MCZ	200	added ('OK')	text/html	etag:W/%2217d17-5eada5eee5100%22	https://ptable.com/?lang=en	C:/My%20Web%20Sites/periodic%20table/ptable.com/index9ed2.html	(from https://ptable.com/)
18:18:13	2916/2916	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b64-5c31510044c80%22	https://ptable.com/icon/ptable-logo.svg	C:/My%20Web%20Sites/periodic%20table/ptable.com/icon/ptable-logo.svg	(from https://ptable.com/)
18:18:14	289/289	---M--	302	error ('Found')	text/html	date:Sun,%2022%20Jan%202023%2012:48:14%20GMT	https://ptable.com/demo	C:/My%20Web%20Sites/periodic%20table/ptable.com/demo	(from https://ptable.com/)
